fixture_id,team,player_id,player_name,minutes_played,rating,position,is_substitute,shots_total,shots_on_goal,goals_total,assists,passes_total,passes_key,passes_accuracy_pct,tackles_total,tackles_interceptions,duels_won
867946,Crystal Palace,18835,Vicente Guaita,90.0,6.2,G,False,,,,,37.0,,35,,,
867946,Crystal Palace,18862,Nathaniel Clyne,90.0,6.3,D,False,,,,,56.0,1.0,50,,1.0,3.0
867946,Crystal Palace,2729,Joachim Andersen,90.0,7.9,D,False,,,,,104.0,1.0,91,6.0,2.0,12.0
867946,Crystal Palace,67971,Marc Guéhi,90.0,6.3,D,False,,,,,105.0,,93,,1.0,1.0
867946,Crystal Palace,182201,Tyrick Mitchell,90.0,6.3,D,False,,,,,52.0,,39,1.0,2.0,2.0
867946,Crystal Palace,3339,Cheick Doucouré,75.0,6.7,M,False,,,,,34.0,,32,1.0,1.0,1.0
867946,Crystal Palace,18843,Jeffrey Schlupp,86.0,6.9,M,False,1.0,,,,35.0,,30,4.0,1.0,8.0
867946,Crystal Palace,3428,Jordan Ayew,90.0,6.2,M,False,,,,,30.0,3.0,26,2.0,,10.0
867946,Crystal Palace,19586,Eberechi Eze,86.0,6.2,M,False,1.0,1.0,,,35.0,,31,1.0,,3.0
867946,Crystal Palace,3247,Wilfried Zaha,90.0,7.2,M,False,,,,,35.0,2.0,29,3.0,,11.0
867946,Crystal Palace,1135,Odsonne Édouard,58.0,6.2,F,False,1.0,1.0,,,6.0,,3,,,1.0
867946,Crystal Palace,19143,Sam Johnstone,,,G,True,,,,,,,,,,
867946,Crystal Palace,126949,Chris Richards,,,D,True,,,,,,,,,,
867946,Crystal Palace,18847,Joel Ward,,,D,True,,,,,,,,,,
867946,Crystal Palace,18852,Luka Milivojević,15.0,6.5,M,True,,,,,16.0,,15,,,
867946,Crystal Palace,328808,Malcolm Ebiowei,8.0,6.5,M,True,,,,,3.0,,2,,,1.0
867946,Crystal Palace,18853,Jaïro Riedewald,,,M,True,,,,,,,,,,
867946,Crystal Palace,18806,Will Hughes,8.0,6.2,M,True,,,,,4.0,,3,,,
867946,Crystal Palace,25927,Jean-Philippe Mateta,32.0,6.7,F,True,1.0,,,,10.0,1.0,8,,,
867946,Crystal Palace,284059,Luke Plange,,,F,True,,,,,,,,,,
867946,Arsenal,20355,Aaron Ramsdale,90.0,7.5,G,False,,,,,28.0,,20,,,1.0
867946,Arsenal,19959,Benjamin White,90.0,7.6,D,False,,,,,32.0,1.0,24,8.0,1.0,12.0
867946,Arsenal,22090,William Saliba,90.0,7.5,D,False,,,,,48.0,,45,1.0,,4.0
867946,Arsenal,22224,Gabriel Magalhães,90.0,7.2,D,False,,,,,58.0,,52,1.0,1.0,6.0
867946,Arsenal,641,Oleksandr Zinchenko,83.0,7.3,D,False,1.0,1.0,,1.0,48.0,2.0,39,5.0,3.0,7.0
867946,Arsenal,37127,Martin Ødegaard,89.0,7.2,M,False,1.0,,,,39.0,,28,2.0,,3.0
867946,Arsenal,49,Thomas Partey,90.0,7,M,False,,,,,47.0,1.0,38,6.0,1.0,7.0
867946,Arsenal,1464,Granit Xhaka,90.0,7.2,M,False,,,,,47.0,1.0,40,1.0,2.0,9.0
867946,Arsenal,1460,Bukayo Saka,90.0,7,F,False,2.0,,,,29.0,1.0,24,2.0,,4.0
867946,Arsenal,643,Gabriel Jesus,83.0,7,F,False,,,,,28.0,,20,1.0,1.0,10.0
867946,Arsenal,127769,Gabriel Martinelli,90.0,7,F,False,2.0,1.0,1.0,,26.0,1.0,24,,,5.0
867946,Arsenal,50999,Matt Turner,,,G,True,,,,,,,,,,
867946,Arsenal,190,Cédric Soares,,,D,True,,,,,,,,,,
